Date,Close
2016-05-24,1.3588628383570445
2016-05-25,0.695053918975308
2016-05-26,-0.021049408780715595
2016-05-27,0.42777137484018013
2016-05-31,-0.10009486014519453
2016-06-01,0.11295693348145619
2016-06-02,0.28207287425612293
2016-06-03,-0.2916001771314569
2016-06-06,0.48853143586375936
2016-06-07,0.128862944631436
2016-06-08,0.3303991188785993
2016-06-09,-0.17191710652788572
2016-06-10,-0.921757425582026
2016-06-13,-0.8148294359402009
2016-06-14,-0.18005098283602194
2016-06-15,-0.18423761246140202
2016-06-16,0.3128097810598973
2016-06-17,-0.32632746994192274
2016-06-20,0.5791368633680349
2016-06-21,0.27084373542942686
2016-06-22,-0.16529523329484874
2016-06-23,1.3275511311332089
2016-06-24,-3.6580777234719086
2016-06-27,-1.8262249261632668
2016-06-28,1.7614157916988837
2016-06-29,1.6889216752452363
2016-06-30,1.3473821400287633
2016-07-01,0.19467806929593934
2016-07-05,-0.6871075583428699
2016-07-06,0.5338719739026665
2016-07-07,-0.08719206389979917
2016-07-08,1.5138185866623743
2016-07-11,0.3402814586803693
2016-07-12,0.6984851096364153
2016-07-13,0.013474052016348992
2016-07-14,0.5245391042532965
2016-07-15,-0.09293745423875066
2016-07-18,0.23795068786034435
2016-07-19,-0.14362676143067077
2016-07-20,0.4261212867369579
2016-07-21,-0.3619024785839642
2016-07-22,0.4543577237250851
2016-07-25,-0.3015996263402876
2016-07-26,0.032275466775910644
2016-07-27,-0.11993285198670378
2016-07-28,0.1604929506244801
2016-07-29,0.16299621902948758
2016-08-01,-0.1270589706066083
2016-08-02,-0.6381913907791414
2016-08-03,0.31290382452997534
2016-08-04,0.021256735230323898
2016-08-05,0.8566643604324575
2016-08-08,-0.09074743505044225
2016-08-09,0.038967320664617944
2016-08-10,-0.286879705062848
2016-08-11,0.47233927423997457
2016-08-12,-0.07963678724891565
2016-08-15,0.27890832400512267
2016-08-16,-0.549414197082676
2016-08-17,0.1866814596923838
2016-08-18,0.21971793405901607
2016-08-19,-0.14413542987101735
2016-08-22,-0.05633790063610533
2016-08-23,0.19498626169784927
2016-08-24,-0.525407298057079
2016-08-25,-0.13661738453381034
2016-08-26,-0.15800957333471644
2016-08-29,0.5214500184160364
2016-08-30,-0.1955699005067757
2016-08-31,-0.23786147623905407
2016-09-01,-0.0041457364560848475
2016-09-02,0.4192300041961694
2016-09-06,0.2977242343370712
2016-09-07,-0.014636466783102264
2016-09-08,-0.22255507805430952
2016-09-09,-2.482774756307826
2016-09-12,1.4570396678018405
2016-09-13,-1.4941739368127038
2016-09-14,-0.05878494052122818
2016-09-15,1.0058521089339578
2016-09-16,-0.37793821611114
2016-09-19,-0.0018699103377706194
2016-09-20,0.029914370338612883
2016-09-21,1.0857950722305887
2016-09-22,0.647883749098721
2016-09-23,-0.5753297289881942
2016-09-26,-0.8624922689933534
2016-09-27,0.6423572318236204
2016-09-28,0.5282490985375254
2016-09-29,-0.9365019283515963
2016-09-30,0.7936329103086948
2016-10-03,-0.32659915807071727
2016-10-04,-0.4967899838308476
2016-10-05,0.4287490733457133
2016-10-06,0.04814257702054903
2016-10-07,-0.32587738683274026
2016-10-10,0.45953664043354436
2016-10-11,-1.252460917831133
2016-10-12,0.11459550215580094
2016-10-13,-0.31041312647026587
2016-10-14,0.020161621250114337
2016-10-17,-0.3042627268629694
2016-10-18,0.6141459963406426
