Date,y,P_High,Vol
1982-01-04,0.15491869868293187,0.0,17.454030846338394
1982-01-05,-2.2159974293688736,0.8254015732794289,17.474876268953118
1982-01-06,-0.727336734842925,0.6840388777386787,19.000506073889824
1982-01-07,-0.2099870579678935,0.5814910453304276,18.74215130812929
1982-01-08,0.5199609165179592,0.6401264042149701,18.308749301332544
1982-01-11,-2.3442871048942195,0.830736263000359,17.930984487100094
1982-01-12,-0.41187633307728216,0.5486263607088467,19.58330269282037
1982-01-13,-1.2284954224704743,0.811985761419321,19.16238166710243
1982-01-14,0.5728685053205503,0.625072401342019,19.27672434811551
1982-01-15,0.6814189475555578,0.6965869336336022,18.870829378925688
1982-01-18,0.7621531219608122,0.6950960519367418,18.525001902176314
1982-01-19,-1.0720974079671244,0.7726320976765801,18.231082207410786
1982-01-20,-0.6054334355690727,0.6594535641075051,18.266104376039408
1982-01-21,0.4155490353422265,0.6379630877886395,17.983294774739946
1982-01-22,-0.3201664137600088,0.6297875580796506,17.59148994705951
1982-01-25,0.0259976603570076,0.5884496237161858,17.233098246969874
1982-01-26,-0.19080664938984607,0.6039173430525253,16.83619163946986
1982-01-27,0.476335720727762,0.6507769411828723,16.48069298343924
1982-01-28,2.7104701984204382,0.780331846736875,16.172014990423868
1982-01-29,1.2368534744823811,0.7883501278123906,18.442509984124094
1982-02-01,-2.200105535829599,0.8202028958360611,18.467495479033264
1982-02-02,0.19508891212327628,0.5044066887385745,19.804080385300516
1982-02-03,-1.3049782189281496,0.8360253166194198,19.306175988760348
1982-02-04,-0.051524260478644016,0.5197802800971171,19.482330975625928
1982-02-05,0.7189349692479654,0.7109659946435964,18.99833960659131
1982-02-08,-2.268414140915085,0.811581968750583,18.6641760162847
1982-02-09,-0.8322066338072922,0.673146915358092,20.09873745664703
1982-02-10,0.8583743691391434,0.7432186651547827,19.844659907366452
1982-02-11,-0.2007945150613238,0.581136234089081,19.53359654457216
1982-02-12,-0.04370438424533401,0.5998956385288362,19.065870400645764
1982-02-15,-0.2801612758777284,0.6191485091197302,18.598238838095625
1982-02-16,-0.3249179587377641,0.6357304878597674,18.186295453596244
1982-02-17,0.1142807033962585,0.584858387096624,17.803333340520012
1982-02-18,-0.5285424566463885,0.6492602283628198,17.382249624763926
1982-02-19,-1.450138841090401,0.8423316829052667,17.111499205560634
1982-02-22,-0.07171672203394108,0.4790241814360432,17.614820890174347
1982-02-23,1.742421182562754,0.8816074111045666,17.20841892230995
1982-02-24,-0.22939837128800314,0.5537859193137327,17.87003494316559
1982-02-25,-0.08837045467283436,0.6134454335338534,17.475943233664896
1982-02-26,0.17666288491855098,0.5937951229978474,17.077645652480292
1982-03-01,-0.5575482384303284,0.6668925256854318,16.68926898471807
1982-03-02,-1.5742722260594568,0.8201378966683719,16.467411246056663
