Date,Return,GARCH_vol,GARCH_DF_vol,P_High,Cond_Var
2016-05-24,1.3588628383570445,18.108806892601667,18.108806892601667,0.0,1.301305107434673
2016-05-25,0.695053918975308,18.57178911273712,17.950698718654234,0.9453496687187389,1.278680890824979
2016-05-26,-0.0210494087807155,17.50558400436905,17.39092024849826,0.8387383321303556,1.20017502813344
2016-05-27,0.4277713748401801,16.12413588179312,16.678968334790802,0.8697223982544336,1.1039205742577551
2016-05-31,-0.1000948601451945,15.014589160594817,16.04504601074851,0.7873666895753475,1.0216011963771299
2016-06-01,0.1129569334814561,13.923030091271665,15.403700727811465,0.788065401345992,0.9415634766348391
2016-06-02,0.2820728742561229,12.882547069020795,14.779070950401023,0.8542378385421674,0.8667497545912197
2016-06-03,-0.2916001771314569,12.010008409243795,14.198944040171794,0.8865144917976417,0.8000397295870242
2016-06-06,0.4885314358637593,11.458508613000195,13.701144536329496,0.9342800936308422,0.7449260381166332
2016-06-07,0.128862944631436,10.978327156403447,13.25252828040847,0.8675346660192658,0.6969424834247073
2016-06-08,0.3303991188785993,10.254231949755733,12.729122931766089,0.9072883823969752,0.6429784548095766
2016-06-09,-0.1719171065278857,9.728273865641249,12.2631417700224,0.8935845693854189,0.5967644685383655
2016-06-10,-0.921757425582026,9.314795985888612,11.823447621385608,0.9810800342626876,0.5547377526017817
2016-06-13,-0.8148294359402009,11.024966529886465,12.22087888531837,0.9755805139787629,0.5926582568635728
2016-06-14,-0.1800509828360219,11.899010062213463,12.421790118687607,0.8801229013774103,0.6123050387012898
2016-06-15,-0.184237612461402,11.22091451826233,11.980869960769922,0.8687815201531192,0.5696081151463456
2016-06-16,0.3128097810598973,10.630216082193767,11.558741037307179,0.9233909833846603,0.530176564950512
2016-06-17,-0.3263274699419227,10.040932474404876,11.147478780032628,0.9408266881675418,0.4931201712352291
2016-06-20,0.5791368633680349,9.822423702345231,10.854334917921378,0.9772012009724345,0.46752613694606054
2016-06-21,0.2708437354294268,9.746626249877078,10.654013714198268,0.9374132768434854,0.4504286040568442
2016-06-22,-0.1652952332948487,9.229900378360384,10.279331514494318,0.9129406234237424,0.41930419200347635
2016-06-23,1.3275511311332089,8.8755222938165,9.944636397117044,0.9945382299369326,0.3924436232970836
2016-06-24,-3.6580777234719086,11.61296481264595,11.067134031558409,0.9822963637967119,0.48603752250983434
2016-06-27,-1.8262249261632668,26.817435420490273,19.472949709337758,0.9905144797578507,1.5047451205650688
2016-06-28,1.7614157916988835,27.566954235536187,20.573104502419508,0.992709791023709,1.6795739240772771
2016-06-29,1.6889216752452365,27.450657301263647,21.09223535889931,0.991582003434373,1.76540631918731
2016-06-30,1.347382140028763,27.169312680908618,21.440247656034387,0.9815438228136755,1.8241437283813013
2016-07-01,0.1946780692959393,26.15467110989353,21.278190522863895,0.8887612850394129,1.7966721901876783
2016-07-05,-0.6871075583428699,23.9391154058556,20.388606778474575,0.9325108077624503,1.6495844697113466
2016-07-06,0.5338719739026665,22.515905569991244,19.786318776877888,0.9189790380874715,1.5535651219850413
2016-07-07,-0.0871920638997991,20.82824122391899,19.04017917367793,0.8702941328947877,1.438604853038725
2016-07-08,1.5138185866623743,19.145040088812173,18.258395830769395,0.9803100783529556,1.322892929813719
2016-07-11,0.3402814586803693,19.86509954624769,18.58663268353376,0.9224255162652568,1.3708845813992274
2016-07-12,0.6984851096364153,18.303502697419894,17.840390053021327,0.9432480387816484,1.263013957317231
2016-07-13,0.0134740520163489,17.27460556571439,17.286990080278283,0.8450655091800746,1.1858731191890468
2016-07-14,0.5245391042532965,15.906587995477652,16.577404062988155,0.8975744159856213,1.0905171645538738
2016-07-15,-0.0929374542387506,14.925488914932256,15.987544689558453,0.8038018677479648,1.0142920047643993
2016-07-18,0.2379506878603443,13.83900202718833,15.348149482888324,0.816588513585653,0.9347844942424012
2016-07-19,-0.1436267614306707,12.838999987693603,14.734506174380096,0.8227916187561981,0.8615304452493856
2016-07-20,0.4261212867369579,12.016325332129757,14.16106736182886,0.9170655334139055,0.7957770985168832
2016-07-21,-0.3619024785839642,11.378945548035873,13.65368389190814,0.9231280753464826,0.7397741421434594
2016-07-22,0.4543577237250851,11.02744743998868,13.2306720564885,0.9389833814656829,0.6946455677235935
2016-07-25,-0.3015996263402876,10.554403602977311,12.791975648052391,0.8732434181356701,0.6493438134141484
2016-07-26,0.0322754667759106,10.21680396994484,12.385395282990284,0.7670220029262804,0.6087222869679285
2016-07-27,-0.1199328519867037,9.58691861198228,11.904270091306415,0.7574913079536645,0.5623478032014779
2016-07-28,0.1604929506244801,9.133114955866546,11.464212789307544,0.7904650265067941,0.521540376502074
2016-07-29,0.1629962190294875,8.630295405935232,11.028679696404357,0.8164267808903345,0.4826657771661972
2016-08-01,-0.1270589706066083,8.190517321478817,10.614772493751913,0.8467066296310235,0.44711664719885785
2016-08-02,-0.6381913907791414,7.934222577114612,10.243060842328763,0.9640790618374366,0.4163503786494
2016-08-03,0.3129038245299753,8.97362850807838,10.353846123433586,0.9381882989049034,0.42540527598309785
2016-08-04,0.0212567352303238,8.595154917317986,10.009258841563428,0.8719916510445025,0.3975605657040303
2016-08-05,0.8566643604324575,8.16488424299938,9.646066896308746,0.9776659788262494,0.3692325657462834
2016-08-08,-0.0907474350504422,9.214880300215661,9.888285979202887,0.841003045248651,0.38800872859722385
2016-08-09,0.0389673206646179,8.780726108086629,9.551007292652352,0.8173889154155914,0.36199103295356516
2016-08-10,-0.286879705062848,8.320855570622678,9.209569926250868,0.9189083602003904,0.336572135819462
2016-08-11,0.4723392742399745,8.301174461587083,9.001080984648528,0.9688400504264507,0.3215057892547671
2016-08-12,-0.0796367872489156,8.260301798097014,8.835750218862813,0.8827151268106785,0.30980349972275495
2016-08-15,0.2789083240051226,7.942653343706386,8.551670574404099,0.9491224888049502,0.29020265719495597
2016-08-16,-0.549414197082676,7.67040461632943,8.292569028250705,0.9745088294890452,0.2728837344773922
2016-08-17,0.1866814596923838,8.477189400080682,8.503476530716439,0.9262058862294202,0.286940925033513
2016-08-18,0.219717934059016,8.066264143303576,8.22244317064832,0.9148043974259348,0.26828798291484607
2016-08-19,-0.1441354298710173,7.727732889991363,7.963654277513563,0.8532720340912128,0.251665831157778
2016-08-22,-0.0563379006361053,7.561838695965843,7.752689045622307,0.8234466362454477,0.23850868030996866
2016-08-23,0.1949862616978492,7.3201434824219875,7.51968031119051,0.9176253357258883,0.22438726977185
2016-08-24,-0.525407298057079,7.068521084595828,7.294091289344566,0.969450465407577,0.2111260624495725
2016-08-25,-0.1366173845338103,7.94976344661199,7.5765294887524,0.8985442140940768,0.22779285354735992
2016-08-26,-0.1580095733347164,7.74054277340741,7.389404258460819,0.9110160923377458,0.21667974323396377
2016-08-29,0.5214500184160364,7.5922208575872725,7.221113655895359,0.9843997603850043,0.20692254933078746
2016-08-30,-0.1955699005067757,7.781446352536773,7.248609966944702,0.9328412110390861,0.20850137481305586
2016-08-31,-0.237861476239054,7.6845545925647585,7.125415637598087,0.9208200021618945,0.2014743968592355
2016-09-01,-0.0041457364560848,7.677772541546909,7.041493623894986,0.8627898796648514,0.19675647799743548
2016-09-02,0.4192300041961694,7.380715265240228,6.84056747396107,0.9799859084543349,0.18568794986434173
2016-09-06,0.2977242343370712,7.394905606665631,6.788425394365253,0.9674107250273118,0.18286793386850408
2016-09-07,-0.0146364667831022,7.222778426706726,6.6501018860067385,0.8652171220312039,0.1754914884693269
2016-09-08,-0.2225550780543095,6.996198026604722,6.474999331891236,0.9407547712556611,0.1663714934444125
2016-09-09,-2.482774756307826,7.080503618131998,6.422079708458562,0.9740069755037544,0.16366312611823497
2016-09-12,1.4570396678018405,18.194978370096774,12.420185872509338,0.9933640222297313,0.6121468932844465
2016-09-13,-1.4941739368127038,18.933341066188433,13.421968604574914,0.9845487474836198,0.7148779413579153
2016-09-14,-0.0587849405212281,20.268638049716365,14.74044665118684,0.8907289088398365,0.8622252677638307
2016-09-15,1.0058521089339578,18.628849433101493,14.156426246024074,0.9783482096713071,0.7952555716631716
2016-09-16,-0.37793821611114,18.114453254087316,14.166275392997314,0.9062341066927091,0.7963625337707985
2016-09-19,-0.0018699103377706,16.943177321903143,13.73178558687707,0.8006882526389276,0.7482616484284319
2016-09-20,0.0299143703386128,15.611917594034256,13.188682635594544,0.8237385489848412,0.6902434510414011
2016-09-21,1.085795072230589,14.406330464148338,12.668931787809395,0.9847661281072971,0.6369120343022513
2016-09-22,0.647883749098721,14.793693190425392,12.930828218397984,0.9829343429136027,0.6635171365623713
2016-09-23,-0.5753297289881942,14.12619786040959,12.653147479330968,0.976402374761845,0.6353259568797605
2016-09-26,-0.8624922689933534,13.786867043575784,12.501253113903084,0.9855412756677954,0.6201640056264743
